Key,en,he,it,es,fr,ar
sub_Winter_Transitional_Clothing,Winter Clothing,בגדי חורף,Abbigliamento invernale,Ropa de invierno,Vêtements d'hiver,ملابس شتوية
sub_Footwear_Accessories,Footwear & Acc.,הנעלה ואביזרים,Calzature e acc.,Calzado y acc.,Chaussures et acc.,أحذية وملحقات
sub_Bed_Linens,Bed Linens,מצעים,Biancheria da letto,Ropa de cama,Linge de lit,مفارش سرير
sub_Bath_Kitchen_Textiles,Bath & Kitchen Tex.,טקסטיל אמבט ומטבח,Tessuti bagno e cucina,Textiles baño y cocina,Textiles bain et cuisine,منسوجات حمام ومطبخ
sub_Food_Feeding,Food & Feeding,אוכל והאכלה,Cibo e alimentazione,Comida y alimentación,Nourriture et alimentation,طعام وإطعام
sub_Care_Accessories,Care & Accessories,טיפוח ואביזרים,Cura e accessori,Cuidado y accesorios,Soins et accessoires,عناية وملحقات
sub_Feeding_Nursing,Feeding & Nursing,האכלה והנקה,Alimentazione e allattamento,Alimentación y lactancia,Alimentation et allaitement,إطعام ورضاعة
sub_Diapering_Hygiene,Diapering & Hygiene,החתלה והיגיינה,Pannolini e igiene,Pañales e higiene,Couches et hygiène,تغيير حفاضات ونظافة
sub_Gear_Travel,Gear & Travel,ציוד ונסיעות,Attrezzatura e viaggio,Equipo y viaje,Équipement et voyage,معدات وسفر
sub_Gardening_Tools,Gardening Tools,כלי גינון,Attrezzi giardinaggio,Herramientas jardinería,Outils jardinage,أدوات زراعة
sub_Outdoor_Maintenance,Outdoor Maintenance,תחזוקת חוץ,Manutenzione esterna,Mantenimiento exterior,Entretien extérieur,صيانة خارجية
sub_Outdoor_Living_Entertainment,Outdoor Living,פנאי בחוץ,Vita all'aperto,Vida al aire libre,Vie en plein air,معيشة خارجية
sub_Home_Gym_Basics,Home Gym Basics,ציוד כושר בסיסי,Base palestra casa,Gimnasio casa básico,Base gym domicile,أساسيات صالة رياضية
sub_Recovery_Support,Recovery & Support,התאוששות ותמיכה,Recupero e supporto,Recuperación y apoyo,Récupération et soutien,تعافي ودعم
sub_Action_Figures_Playsets,Action Figures,בובות פעולה,Action figure,Figuras de acción,Figurines d'action,مجسمات حركة
sub_Building_Blocks_Construction,Building Blocks,קוביות בנייה,Costruzioni,Bloques de construcción,Blocs de construction,مكعبات بناء
sub_Dolls_Accessories,Dolls & Acc.,בובות ואביזרים,Bambole e acc.,Muñecas y acc.,Poupées et acc.,دمى وملحقات
sub_Vehicles_Remote_Control,Vehicles & RC,רכבים ושלט,Veicoli e RC,Vehículos y RC,Véhicules et RC,مركبات وتحكم
sub_Arts_Crafts,Arts & Crafts,יצירה ואומנות,Arti e mestieri,Artes y manualidades,Arts et bricolage,فنون وحرف
sub_Board_Games_Puzzles,Board Games,משחקי קופסה,Giochi da tavolo,Juegos de mesa,Jeux de société,ألعاب لوحية
sub_Plush_Stuffed_Animals,Plush Toys,בובות פרווה,Peluche,Peluches,Peluches,حيوانات محشوة
sub_Educational_STEM_Toys,Educational Toys,צעצועים חינוכיים,Giocattoli educativi,Juguetes educativos,Jouets éducatifs,ألعاب تعليمية
item_Milk,Milk,חלב,Latte,Leche,Lait,حليب
item_Yellow_cheese,Yellow Cheese,גבינה צהובה,Formaggio giallo,Queso amarillo,Fromage à pâte dure,جبן أصفر
item_Soft_cheeses_white_cheese_cottage_cheese_,Soft Cheeses,גבינות רכות,Formaggi a pasta molle,Quesos blandos,Fromages à pâte molle,أجبان طرية
item_White_cheese,White Cheese,גבינה לבנה,Formaggio bianco,Queso blanco,Fromage blanc,جبن أبيض
item_Cottage_cheese,Cottage Cheese,קוטג',Fiocchi di latte,Requesón,Fromage cottage,جبن قريش
item_Butter_Margarine,Butter / Margarine,חמאה / מרגרינה,Burro / Margarina,Mantequilla / Margarina,Beurre / Margarine,زبدة / سمن
item_Butter,Butter,חמאה,Burro,Mantequilla,Beurre,زبدة
item_Margarine,Margarine,מרגרינה,Margarina,Margarina,Margarine,سمن نباتي
item_Yogurts_and_puddings,Yogurts & Puddings,יוגורטים ומעדנים,Yogurt e budini,Yogures y pudines,Yaourts et crèmes desserts,زبادي وبودنغ
item_Yogurts,Yogurts,יוגורטים,Yogurt,Yogures,Yaourts,زبادي
item_Puddings,Puddings,מעדנים/פודינג,Budini,Pudines,Crèmes desserts,بودنغ
item_Cream_sour_sweet_for_cooking_whipping_,Cream,שמנת,Panna,Crema,Crème,كريمة
item_Sour_cream,Sour Cream,שמנת חמוצה,Panna acida,Crema agria,Crème aigre,قشدة حامضة
item_Sweet_cream,Sweet Cream,שמנת מתוקה,Panna dolce,Crema dulce,Crème douce,قشدة حلوة
item_Eggs,Eggs,ביצים,Uova,Huevos,Œufs,بيض
item_Plant_based_milk_almond_oat_soy_,Plant Milk,חלב צמחי,Latte vegetale,Leche vegetal,Lait végétal,حليب نباتي
item_Almond_milk,Almond Milk,חלב שקדים,Latte di mandorla,Leche de almendras,Lait d'amande,حليب اللوز
item_Oat_milk,Oat Milk,חלב שיבולת שועל,Latte di avena,Leche de avena,Lait d'avoine,حليب الشوفان
item_Soy_milk,Soy Milk,חלב סויה,Latte di soia,Leche de soja,Lait de soja,حليب الصويا
item_Chicken_breast_Schnitzels_fresh_or_frozen_,Chicken Breast,חזה עוף / שניצל,Petto di pollo,Pechuga de pollo,Blanc de poulet,صدر دجاج
item_Chicken_breast,Chicken Breast,חזה עוף,Petto di pollo,Pechuga de pollo,Blanc de poulet,صدر دجاج
item_Schnitzels,Schnitzels,שניצלים,Cotolette,Escalopes,Escalopes,شنيتزل
item_Beef_minced_for_goulash_steaks_,Beef,בשר בקר,Manzo,Carne de res,Bœuf,لحم بقر
item_Minced_beef,Minced Beef,בשר טחון,Carne macinata,Carne picada,Viande hachée,لحم مفروم
item_Beef_steaks,Beef Steaks,סטייקים,Bistecche di manzo,Filetes de res,Steaks de bœuf,شرائح لحم بقر
item_Goulash_meat,Goulash Meat,בשר לגולש,Carne per gulasch,Carne para gulash,Viande à goulash,لحم غولاش
item_Fish_salmon_tilapia_tuna_,Fish,דגים,Pesce,Pescado,Poisson,سمك
item_Salmon,Salmon,סלמון,Salmone,Salmón,Saumon,سلمون
item_Tilapia,Tilapia,אמנון (מושט),Tilapia,Tilapia,Tilapia,بلطي
item_Tuna,Tuna,טונה,Tonno,Atún,Thon,تونة
item_Sausages,Sausages,נקניקיות,Salsicce,Salchichas,Saucisses,نقانق
item_Pastrami_and_deli_meats,Deli Meats,פסטרמה ונקניקים,Salumi,Fiambres,Charcuterie,لحوم باردة
item_Pastrami,Pastrami,פסטרמה,Pastrami,Pastrami,Pastrami,بسطرمة
item_Deli_meats,Deli Meats,נקניקים,Salumi,Fiambres,Charcuterie,لحوم باردة
item_Tofu_and_meat_substitutes,Tofu & Substitutes,טופו ותחליפי בשר,Tofu e sostituti,Tofu y sustitutos,Tofu et substituts,توفو وبدائل
item_Tofu,Tofu,טופו,Tofu,Tofu,Tofu,توفو
item_Meat_substitutes,Meat Substitutes,תחליפי בשר,Sostituti della carne,Sustitutos de carne,Substituts de viande,بدائل اللحوم
item_Tomatoes_cucumbers_peppers,Tomatoes & Cucumbers,עגבניות ומלפפונים,Pomodori e cetrioli,Tomates y pepinos,Tomates et concombres,طماطم وخيار
item_Tomatoes,Tomatoes,עגבניות,Pomodori,Tomates,Tomates,طماطم
item_Cucumbers,Cucumbers,מלפפונים,Cetrioli,Pepinos,Concombres,خيار
item_Peppers,Peppers,פלפלים,Peperoni,Pimientos,Poivrons,فلفل
item_Dry_onion_garlic,Onion & Garlic,בצל ושום,Cipolla e aglio,Cebolla y ajo,Oignon et ail,بصل وثوم
item_Dry_onion,Dry Onion,בצל יבש,Cipolla secca,Cebolla seca,Oignon sec,بصل جاف
item_Garlic,Garlic,שום,Aglio,Ajo,Ail,ثوم
item_Potatoes_sweet_potatoes,Potatoes,תפוחי אדמה,Patate,Papas,Pommes de terre,بطاطس
item_Potatoes,Potatoes,תפוחי אדמה,Patate,Papas,Pommes de terre,بطاطس
item_Sweet_potatoes,Sweet Potatoes,בטטות,Patate dolci,Batatas,Patates douces,بطاطا حلوة
item_Carrots_zucchini_eggplants,Carrots & Zucchini,גזר וקישואים,Carote e zucchine,Zanahorias y calabacines,Carottes et courgettes,جزر وكوسا
item_Carrots,Carrots,גזר,Carote,Zanahorias,Carottes,جزر
item_Zucchini,Zucchini,קישואים,Zucchine,Calabacines,Courgettes,كوسا
item_Eggplants,Eggplants,חצילים,Melanzane,Berenjenas,Aubergines,باذنجان
item_Greens_lettuce_parsley_cilantro_mint_,Greens,ירוקים (חסה, פטרוזיליה),Verdure a foglia,Verduras de hoja,Légumes verts,ورقيات
item_Lettuce,Lettuce,חסה,Lattuga,Lechuga,Laitue,خس
item_Parsley,Parsley,פטרוזיליה,Prezzemolo,Perejil,Persil,بقدونس
item_Cilantro,Cilantro,כוסברה,Coriandolo,Cilantro,Coriandre,كزبرة
item_Mint,Mint,נענע,Menta,Menta,Menthe,نعناع
item_Mushrooms_and_broccoli,Mushrooms & Broccoli,פטריות וברוקולי,Funghi e broccoli,Champiñones y brócoli,Champignons et brocoli,فطر وبروكلي
item_Mushrooms,Mushrooms,פטריות,Funghi,Champiñones,Champignons,فطر
item_Broccoli,Broccoli,ברוקולי,Broccoli,Brócoli,Brocoli,بروكلي
item_Apples_bananas,Apples & Bananas,תפוחים ובננות,Mele e banane,Manzanas y plátanos,Pommes et bananes,تفاح وموز
item_Apples,Apples,תפוחים,Mele,Manzanas,Pommes,تفاح
item_Bananas,Bananas,בננות,Banane,Plátanos,Bananes,موز
item_Citrus_oranges_lemons_,Citrus,פירות הדר,Agrumi,Cítricos,Agrumes,حمضيات
item_Oranges,Oranges,תפוזים,Arance,Naranjas,Oranges,برتقال
item_Lemons,Lemons,לימונים,Limoni,Limones,Citrons,ليمون
item_Seasonal_fruits_watermelon_grapes_peaches_strawberries_,Seasonal Fruits,פירות העונה,Frutta di stagione,Frutas de temporada,Fruits de saison,فواكه موسمية
item_Watermelon,Watermelon,אבטיח,Anguria,Sandía,Pastèque,بطيخ
item_Grapes,Grapes,ענבים,Uva,Uvas,Raisins,عنب
item_Peaches,Peaches,אפרסקים,Pesche,Melocotones,Pêches,خوخ
item_Strawberries,Strawberries,תותים,Fragole,Fresas,Fraises,فراولة
item_Berries_blueberries_raspberries_,Berries,פירות יער,Frutti di bosco,Bayas,Baies,توت
item_Blueberries,Blueberries,אוכמניות,Mirtilli,Arándanos,Myrtilles,توت أزرق
item_Raspberries,Raspberries,פטל,Lamponi,Frambuesas,Framboises,توت عليق
item_Rice_pasta_ptitim_couscous,Rice & Pasta,אורז ופסטה,Riso e pasta,Arroz y pasta,Riz et pâtes,أرز ومكرونة
item_Rice,Rice,אורז,Riso,Arroz,Riz,أرز
item_Pasta,Pasta,פסטה,Pasta,Pasta,Pâtes,مكرونة
item_Ptitim,Ptitim,פתיתים,Ptitim,Ptitim,Ptitim,بتيتيم
item_Couscous,Couscous,קוסקוס,Couscous,Cuscús,Couscous,كسكس
item_Flour_sugar_white_brown_,Flour & Sugar,קמח וסוכר,Farina e zucchero,Harina y azúcar,Farine et sucre,دقيق وسكر
item_Flour,Flour,קמח,Farina,Harina,Farine,دقيق
item_White_sugar,White Sugar,סוכר לבן,Zucchero bianco,Azúcar blanco,Sucre blanc,سكر أبيض
item_Brown_sugar,Brown Sugar,סוכר חום,Zucchero di canna,Azúcar moreno,Sucre roux,سكر بني
item_Oil_canola_olive_,Oil,שמן,Olio,Aceite,Huile,زيت
item_Canola_oil,Canola Oil,שמן קנולה,Olio di colza,Aceite de canola,Huile de colza,زيت كانولا
item_Olive_oil,Olive Oil,שמן זית,Olio d'oliva,Aceite de oliva,Huile d'olive,زيت زيتون
item_Legumes_lentils_chickpeas_beans_dry_or_frozen_,Legumes,קטניות,Legumi,Legumbres,Légumineuses,بقوليات
item_Lentils,Lentils,עדשים,Lenticchie,Lentejas,Lentilles,عدس
item_Chickpeas,Chickpeas,חומוס (גרגרים),Ceci,Garbanzos,Pois chiches,حمص
item_Beans,Beans,שעועית,Fagioli,Frijoles,Haricots,فاصوليا
item_Quinoa_and_oats,Quinoa & Oats,קינואה ושיבולת שועל,Quinoa e avena,Quinoa y avena,Quinoa et avoine,كينوا وشوفان
item_Quinoa,Quinoa,קינואה,Quinoa,Quinoa,Quinoa,كينوا
item_Oats,Oats,שיבולת שועל,Avena,Avena,Avoine,شوفان
item_Tortillas_and_wraps,Tortillas,טורטיות,Tortillas,Tortillas,Tortillas,تورتيلا
item_Wraps,Wraps,דפי ראפ,Piadine/Wraps,Wraps,Wraps,لفائف
item_Salt_table_sea_Himalayan_kosher_,Salt,מלח,Sale,Sal,Sel,ملح
